_id,ltable_ID,rtable_ID,ltable_Title,ltable_ReleaseDate,ltable_Directors,ltable_Runtime,rtable_Title,rtable_ReleaseDate,rtable_Directors,rtable_Runtime,Match
53002,6029,1228,The Confirmation,3/17/16 0:00,Bob Nelson,90 minutes,The Confirmation,3/18/16 0:00,Bob Nelson,90 minutes,1
53142,3023,1230,To Rome with Love,6/21/12 0:00,Woody Allen,112 minutes,To Rome with Love,6/22/12 0:00,Woody Allen,111 minutes,1
53540,3595,1239,Birdman,10/16/14 0:00,"Alejandro Gonzâ€¡lez Iâ€“â€¡rritu, Alejandro Gonzâ€¡lez Iâ€“â€¡rritu",119 minutes,Birdman,10/17/14 0:00,"Alejandro Gonzâ€¡lez Iâ€“â€¡rritu, Alejandro Gonzâ€¡lez Iâ€“â€¡rritu",119 minutes,1
53543,2236,1240,Annie,12/18/14 0:00,Will Gluck,118 minutes,Annie,12/19/14 0:00,Will Gluck,119 minutes,1
53849,6576,1248,And So It Goes,7/24/14 0:00,Rob Reiner,94 minutes,And So It Goes,7/25/14 0:00,Rob Reiner,94 minutes,1
53894,1951,1250,Teenage Mutant Ninja Turtles,8/7/14 0:00,Jonathan Liebesman,101 minutes,Teenage Mutant Ninja Turtles,8/8/14 0:00,Jonathan Liebesman,101 minutes,1
53974,3446,1252,Sniper: Special Ops,"Dec 31,9999",Fred Olen Ray,84 minutes,Sniper: Special Ops,4/3/16 0:00,Fred Olen Ray,84 minutes,1
53997,3119,1253,Barbershop: The Next Cut,4/14/16 0:00,Malcolm D. Lee,112 minutes,Barbershop: The Next Cut,4/15/16 0:00,Malcolm D. Lee,112 minutes,1
54157,655,1255,Begin Again,6/26/14 0:00,John Carney,101 minutes,Begin Again,7/11/14 0:00,John Carney,104 minutes,1
54815,5208,1269,Jinn,4/3/14 0:00,Ajmal Zaheer Ahmad,97 minutes,Jinn,4/4/14 0:00,Ajmal Zaheer Ahmad,97 minutes,1
54825,5278,1270,Moneyball,9/22/11 0:00,Bennett Miller,133 minutes,Moneyball,9/22/11 0:00,Bennett Miller,133 minutes,1
54914,754,1272,Rock of Ages,6/14/12 0:00,Adam Shankman,123 minutes,Rock of Ages,6/15/12 0:00,Adam Shankman,123 minutes,1
54952,3551,1275,47 Ronin,12/24/13 0:00,"Carl Rinsch, Carl Erik Rinsch",127 minutes,47 Ronin,12/25/13 0:00,"Carl Rinsch, Carl Erik Rinsch",118 minutes,1
55073,7091,1280,The Lunchbox,2/27/14 0:00,Ritesh Batra,104 minutes,The Lunchbox,2/28/14 0:00,Ritesh Batra,104 minutes,1
55131,2903,1282,Big Game,6/25/15 0:00,Jalmari Helander,90 minutes,Big Game,6/26/15 0:00,Jalmari Helander,90 minutes,1
55687,3524,1293,High-Rise,5/12/16 0:00,Ben Wheatley,112 minutes,High-Rise,9/26/15 0:00,Ben Wheatley,119 minutes,1
55937,5209,1298,Tarzan,5/8/14 0:00,Reinhard Klooss,94 minutes,Tarzan,12/20/13 0:00,Reinhard Klooss,94 minutes,1
56342,2074,1306,The Dark Knight Rises,7/19/12 0:00,Christopher Nolan,165 minutes,The Dark Knight Rises,7/20/12 0:00,Christopher Nolan,165 minutes,1
