ID,Title,Rating,ReleaseDate,Writers,Directors,Genre,Revenue,Runtime,PartialURL
6440,Santa Paws 2: The Santa Pups,G,"Dec 31,9999","Robert Vince, Anna McRoberts, Philip Fracassi",Robert Vince,"Action & Adventure, Kids & Family",0,88 minutes,santa_pups
6441,Refuge,NR,3/27/2014 0:00,Jessica Goldberg,Jessica Goldberg,Drama,"$2,554.00 ",86 minutes,refuge_2014
6442,The New Public,NR,"Dec 31,9999",Jyllian Gunther,Jyllian Gunther,"Documentary, Special Interest",0,87 minutes,the_new_public
6443,3 Hearts (3 coeurs),PG-13,3/12/2015 0:00,"Benoît Jacquot, Julien Boivent",Benoît Jacquot,"Drama, Romance",0,106 minutes,3_hearts
6444,The Conspiracy,R,8/7/2013 0:00,Christopher MacBride,Christopher MacBride,"Horror, Mystery & Suspense",0,85 minutes,the_conspiracy_2013
6445,The Contradictions of Fair Hope,NR,"Dec 31,9999",Rockell Metcalf,"S. Epatha Merkerson, Rockell Metcalf","Documentary, Drama, Special Interest",0,67 minutes,the_contradictions_of_fair_hope
6446,Knifed Up,NR,"Dec 31,9999",NOT_AVAILABLE,Todd I,NOT_AVAILABLE,0,45 minutes,knifed_up
6447,The Fault In Our Stars,PG-13,6/5/2014 0:00,"Scott Neustadter, Michael H. Weber",Josh Boone,"Comedy, Drama",0,125 minutes,the_fault_in_our_stars
6448,Alive Inside,NR,7/17/2014 0:00,Michael Rossato-Bennett,Michael Rossato-Bennett,"Documentary, Musical & Performing Arts","$150,197.00 ",74 minutes,alive_inside
6449,The Incredible Journey,G,10/29/1963 0:00,"James Algar, Sheila Burnford",Fletcher Markle,"Action & Adventure, Classics, Kids & Family",0,80 minutes,incredible_journey
6450,Moonlight Murder,NR,3/26/1936 0:00,NOT_AVAILABLE,Edwin L. Marin,Mystery & Suspense,0,66 minutes,moonlight_murder_1936
6451,Living in a Big Way,NR,6/9/1947 0:00,Gregory La Cava,Gregory La Cava,"Comedy, Musical & Performing Arts, Romance",0,103 minutes,living_in_a_big_way
6452,"Fat City, New Orleans",NR,"Dec 31,9999",Stephen Mouton,Stephen Mouton,"Comedy, Drama, Romance",0,96 minutes,fat_city_new_orleans
6453,Gridlocked,R,"Dec 31,9999",NOT_AVAILABLE,Allan Ungar,"Action & Adventure, Art House & International",0,113 minutes,gridlocked
6454,Demolition,R,4/7/2016 0:00,Bryan Sipe,Jean-Marc Vallée,"Comedy, Drama",0,100 minutes,demolition_2016
6455,Living Is Easy With Eyes Closed,NR,6/26/2014 0:00,David Trueba,David Trueba,"Art House & International, Drama",0,108 minutes,living_is_easy_with_eyes_closed
6456,Bloodlust,NR,9/12/1961 0:00,Ralph Brooke,Ralph Brooke,"Horror, Mystery & Suspense",0,89 minutes,bloodlust
6457,Vampire Academy,PG-13,2/6/2014 0:00,Daniel Waters,Mark Waters (VIII),"Action & Adventure, Comedy, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy, Romance",0,105 minutes,vampire_academy
6458,Revelation Road: The Beginning Of The End,NR,"Dec 31,9999",NOT_AVAILABLE,Gabriel Sabloff,"Action & Adventure, Faith & Spirituality",0,88 minutes,revelation_road_the_beginning_of_the_end
6459,Legend of the Hillbilly Butcher,NR,"Dec 31,9999",Eunice Font,NOT_AVAILABLE,"Comedy, Drama, Horror, Mystery & Suspense",0,0,legend_of_the_hillbilly_butcher
6460,Dragonfyre,NR,2/1/2013 0:00,Kohl Glass,Kohl Glass,"Action & Adventure, Science Fiction & Fantasy",0,97 minutes,dragonfyre
6461,Grace,NR,"Dec 31,9999",Heath Jones,Heath Jones,Drama,0,95 minutes,
6462,Business as Usual: The Exploitation of Hip Hop,NR,"Dec 31,9999",Jeffery Dillard,Frank Pinnock,"Documentary, Musical & Performing Arts",0,61 minutes,business_as_usual_the_exploitation_of_hip_hop
6463,The Skinny,NR,6/7/2012 0:00,Patrik-Ian Polk,Patrik-Ian Polk,"Comedy, Drama, Romance",0,103 minutes,the_skinny
6464,Of Dolls And Murder,NR,3/31/2012 0:00,Susan Marks,Susan Marks,"Documentary, Special Interest",0,70 minutes,of_dolls_and_murder
6465,Sobre ella,NR,"Dec 31,9999",Mauricio T. Valle,Mauricio T. Valle,"Art House & International, Comedy, Drama",0,98 minutes,sobre_ella
6466,Nightfur,NR,9/9/2011 0:00,NOT_AVAILABLE,Jason Corgan Brown,"Comedy, Musical & Performing Arts, Science Fiction & Fantasy",0,86 minutes,nightfur
6467,Video Games: The Movie,G,7/17/2014 0:00,Jeremy Snead,Jeremy Snead,"Documentary, Special Interest","$23,043.00 ",105 minutes,video_games_the_movie
6468,Adore,R,9/5/2013 0:00,"Christopher Hampton, Doris Lessing",Anne Fontaine,"Drama, Romance","$200,000.00 ",112 minutes,adore_2013
6469,Three Strangers,NR,1/27/1946 0:00,"John Huston, Howard Koch",Jean Negulesco,"Classics, Drama, Mystery & Suspense",0,92 minutes,three-strangers
6470,Switch,NR,"Dec 31,9999","Harry Lynch, Scott Tinker",Harry Lynch,"Documentary, Special Interest",0,98 minutes,
6471,Daddy's Little Girl,NR,"Dec 31,9999",Chris Sun,Chris Sun,"Horror, Mystery & Suspense",0,100 minutes,daddys_little_girl
6472,One & Two,NR,8/13/2015 0:00,"Andrew Droz Palermo, Neima Shahdadi",Andrew Droz Palermo,"Drama, Mystery & Suspense",0,91 minutes,one_and_two_2015
6473,Invisible Ink: Three Short Stories,NR,"Dec 31,9999","Christopher Julian, Jennifer Savran","Christopher Julian, Jennifer Savran",Drama,0,114 minutes,invisible_ink_three_short_stories_2006
6474,Tentacle 8,NR,3/17/2014 0:00,NOT_AVAILABLE,NOT_AVAILABLE,"Drama, Mystery & Suspense",0,124 minutes,tentacle_8
6475,Rehearsal for a Sicilian Tragedy,NR,"Dec 31,9999","John Turturro, Roman Paska",Roman Paska,"Art House & International, Documentary, Drama, Special Interest",0,77 minutes,rehearsal_for_a_sicilian_tragedy
6476,Mr. Turner,R,12/18/2014 0:00,Mike Leigh,Mike Leigh,Drama,0,149 minutes,mr_turner
6477,Revelation Trail,R,"Dec 31,9999","John P. Gibson, Blake Armstrong, Daniel VanThomas",John P. Gibson,"Horror, Western",0,108 minutes,revelation_trail
6478,Return to Sender,NR,8/13/2015 0:00,"Patricia Beauchamp, Joe Gossett",Fouad Mikati,Mystery & Suspense,0,105 minutes,return_to_sender_2015
6479,Hold Your Peace,NR,"Dec 31,9999",Wade McDonald,Wade McDonald,Drama,0,97 minutes,hold_your_peace
6480,A Coffee in Berlin,NR,6/12/2014 0:00,Jan Ole Gerster,"Jan Ole Gerster, JanOle Gerster","Comedy, Drama",0,88 minutes,a_coffee_in_berlin
6481,Mediterranea,NR,11/19/2015 0:00,Jonas Carpignano,Jonas Carpignano,Drama,0,107 minutes,mediterranea_2015
6482,Touchback,PG-13,4/12/2012 0:00,Don Handfield,Don Handfield,"Drama, Science Fiction & Fantasy, Sports & Fitness","$204,068.00 ",118 minutes,touchback
6483,Suspicion,NR,3/1/2012 0:00,David Dilley,David Dilley,"Drama, Mystery & Suspense",0,90 minutes,suspicion_2011
6484,Elstree 1976,NR,5/5/2016 0:00,NOT_AVAILABLE,Jon Spira,"Art House & International, Documentary",0,101 minutes,elstree_1976
6485,666: Devilish Charm,NR,"Dec 31,9999",NOT_AVAILABLE,NOT_AVAILABLE,Horror,0,78 minutes,666_devilish_charm
6486,A Better Life,PG-13,6/23/2011 0:00,"Eric Eason, Roger L. Simon",Chris Weitz,Drama,"$1,754,319.00 ",98 minutes,a_better_life
6487,Pod,R,"Dec 31,9999",Mickey Keating,Mickey Keating,Horror,0,76 minutes,
6488,The Land Before Time: Journey of the Brave,G,"Dec 31,9999","Cliff Ruby, Elana Lesser",Davis Doi,NOT_AVAILABLE,0,82 minutes,the_land_before_time_journey_of_the_brave
6489,The Invitation,NR,4/7/2016 0:00,"Matt Manfredi, Phil Hay",Karyn Kusama,Mystery & Suspense,"$231,703.00 ",100 minutes,the_invitation
6490,Keep the Lights On,NR,9/6/2012 0:00,"Ira Sachs, Mauricio Zacharias",Ira Sachs,"Drama, Gay & Lesbian","$243,536.00 ",101 minutes,keep_the_lights_on
6491,A Touch of Sin,NR,10/3/2013 0:00,"Zhangke Jia, Jia Zhangke","Zhangke Jia, Jia Zhangke",Drama,0,125 minutes,a_touch_of_sin
6492,The Five-Year Engagement,R,4/26/2012 0:00,"Jason Segel, Nicholas Stoller",Nicholas Stoller,Comedy,"$28,644,770.00 ",124 minutes,the_five_year_engagement
6493,Sophomore,NR,1/12/2012 0:00,T. Lee Beideck,T. Lee Beideck,Comedy,"$18,421.00 ",98 minutes,sophomore
6494,"What Happened, Miss Simone?",NR,6/23/2015 0:00,NOT_AVAILABLE,Liz Garbus,Documentary,0,102 minutes,what_happened_miss_simone_2015
6495,Jesse Stone: Lost in Paradise,NR,"Dec 31,9999","Tom Selleck, Michael Brandman",Robert Harmon,Drama,0,120 minutes,jesse_stone_lost_in_paradise
6496,The Heir Apparent: Largo Winch,NR,11/17/2011 0:00,"Jean-Paul Rappeneau, Julien Rappeneau",Jérôme Salle,"Action & Adventure, Mystery & Suspense","$32,060.00 ",109 minutes,the_heir_apparent_largo_winch
6497,Wyoming Triumph: A Workingman's Ski and Snowboard Feature,NR,"Dec 31,9999",NOT_AVAILABLE,"Chris Kitchen, Sam Pope","Documentary, Sports & Fitness",0,53 minutes,wyoming_triumph_a_workingmans_ski_and_snowboard_feature
6498,As Dreamers Do,NR,"Dec 31,9999","Eric Stacey, Wendy Ott","Eric Stacey, Logan Sekulow","Drama, Kids & Family",0,90 minutes,as_dreamers_do
6499,Kampai! For the Love of Sake,NR,8/18/2016 0:00,Mirai Konishi,Mirai Konishi,Documentary,0,95 minutes,kampai_for_the_love_of_sake
6500,Sinister 2,R,8/20/2015 0:00,"Scott Derrickson, C. Robert Cargill",Ciaran Foy,Horror,0,97 minutes,sinister_2
6501,The Other Side of the Door,R,3/3/2016 0:00,"Johannes Roberts, Ernest Riera",Johannes Roberts,"Horror, Mystery & Suspense",0,96 minutes,the_other_side_of_the_door
6502,Agency of Vengeance: Dark Rising (Dark Rising 2: Summer Strikes Back!),NR,"Dec 31,9999","Steven Seagal, Joe Halpin",Keoni Waxman,Science Fiction & Fantasy,0,92 minutes,agency_of_vengeance_dark_rising
6503,MoniKa,NR,12/13/2012 0:00,Steven R. Monroe,Steven R. Monroe,"Action & Adventure, Mystery & Suspense",0,90 minutes,monika_2012
6504,Decoding Deepak,NR,10/4/2012 0:00,Gotham Chopra,Gotham Chopra,"Documentary, Special Interest, Faith & Spirituality",0,83 minutes,decoding_deepak_2012
6505,Scene of the Crime,NR,7/27/1949 0:00,Charles Schnee,Roy Rowland,"Classics, Drama, Mystery & Suspense",0,94 minutes,scene_of_the_crime
6506,To the Arctic,G,4/19/2012 0:00,Stephen Judson,Greg MacGillivray,Documentary,"$14,445,922.00 ",40 minutes,to_the_arctic
6507,Bustin' Chops,NR,7/11/2013 0:00,NOT_AVAILABLE,"Eugene Koekemoer, Danie Barnard","Action & Adventure, Comedy",0,96 minutes,bustin_chops
6508,My Best Friend,NR,"Dec 31,9999","Paul Della Pelle, Erika Kao-Haley",Paul Della Pelle,Drama,0,95 minutes,my_best_friend_2017
6509,Killing Me Slowly,NR,"Dec 31,9999",Matondo Kiantandu,"Matondo Kiantandu, Myles Dixon IV",Drama,0,85 minutes,killing_me_slowly
6510,Farmageddon,G,6/23/2011 0:00,Kristin Canty,Kristin Canty,"Documentary, Special Interest","$33,320.00 ",86 minutes,farmageddon
6511,Beauty Is Embarrassing,NR,9/6/2012 0:00,"Chris Bradley , Kevin Klauber, Neil Berkeley",Neil Berkeley,"Documentary, Musical & Performing Arts, Special Interest, Television",0,92 minutes,beauty_is_embarrassing
6512,Bugs Bunny Superstar,NR,"Dec 31,9999",NOT_AVAILABLE,"Larry Jackson, Larry E. Jackson","Animation, Kids & Family",0,91 minutes,bugs_bunny_superstar-1975
6513,Stranded,NR,7/25/2013 0:00,NOT_AVAILABLE,NOT_AVAILABLE,"Art House & International, Drama, Horror, Science Fiction & Fantasy",0,88 minutes,stranded_2012
6514,Samba,R,7/23/2015 0:00,"Olivier Nakache, Eric Toledano","Olivier Nakache, Eric Toledano","Comedy, Drama, Musical & Performing Arts",0,106 minutes,samba_2014
6515,The Loft,R,1/29/2015 0:00,Wesley Strick,Erik Van Looy,"Drama, Mystery & Suspense",0,103 minutes,the_loft
6516,Teen Wolf,PG,8/22/1985 0:00,"Matthew Weisman, Jeph Loeb",Rod Daniel,"Comedy, Science Fiction & Fantasy",0,92 minutes,teen_wolf
6517,Americano,NR,6/14/2012 0:00,Mathieu Demy,Mathieu Demy,Drama,0,105 minutes,americano_2011
6518,The Philly Kid,R,5/10/2012 0:00,Adam Mervis,Jason Connery,Action & Adventure,0,95 minutes,the_philly_kid_2012
6519,Hansel & Gretel,NR,"Dec 31,9999",José Prendes,Anthony C. Ferrante,"Drama, Horror, Mystery & Suspense",0,90 minutes,hansel_and_gretel_2013
6520,The Tribe,NR,6/16/2015 0:00,Miroslav Slaboshpitsky,Miroslav Slaboshpitsky,"Art House & International, Drama",0,130 minutes,the_tribe_2015
6521,Before I Go to Sleep,R,10/30/2014 0:00,Rowan Joffe,Rowan Joffe,Mystery & Suspense,0,92 minutes,before_i_go_to_sleep
6522,The Liability,R,"Dec 31,9999",John Wrathall,"Craig Viveiros, Craig Vivieros","Art House & International, Mystery & Suspense",0,86 minutes,the_liability_2013
6523,Red Line,R,"Dec 31,9999","Robert Kirbyson, Tara Stone, Tara J. Stone",Robert Kirbyson,"Action & Adventure, Mystery & Suspense",0,87 minutes,red_line_2013
6524,Theory of Obscurity: A Film About the Residents,NR,"Dec 31,9999",Don Hardy Jr.,Don Hardy Jr.,Documentary,0,87 minutes,theory_of_obscurity_a_film_about_the_residents
6525,The Brothers Karamazov,PG,5/31/1957 0:00,"Julius J. Epstein, Richard Brooks",Richard Brooks,"Classics, Drama",0,147 minutes,brothers_karamazov
6526,Dartworth,NR,"Dec 31,9999",NOT_AVAILABLE,Ian Phillips,"Documentary, Drama, Special Interest",0,94 minutes,dartworth_2013
6527,Stand Your Ground,PG-13,1/16/2014 0:00,"Michael McClendon, Jackie Carpenter, Michael McClendon","Michael McClendon, Michael McClendon","Action & Adventure, Drama",0,107 minutes,stand_your_ground
6528,Fast & Furious 6,PG-13,5/23/2013 0:00,Chris Morgan,Justin Lin,Action & Adventure,"$238,700,000.00 ",130 minutes,fast_and_furious_6
6529,Strange Magic,PG,1/22/2015 0:00,"George Lucas, Gary Rydstrom, Irene Mecchi, David Berenbaum",Gary Rydstrom,Animation,0,99 minutes,strange_magic
6530,Preston Castle (A Haunting At Preston Castle),NR,11/2/2012 0:00,NOT_AVAILABLE,Martin Rosenberg,Horror,0,0,preston_castle
6531,My Dad's a Soccer Mom,NR,6/20/2014 0:00,Rhonda Baraka,Randall Stevens (V),"Drama, Kids & Family, Special Interest, Television",0,90 minutes,my_dads_a_soccer_mom
6532,Love Hunter,NR,11/13/2014 0:00,"Branislav 'Brane' Bala, Nemanja Bala","Branislav 'Brane' Bala, Nemanja Bala","Drama, Musical & Performing Arts",0,86 minutes,love_hunter
6533,Detachment,NR,3/15/2012 0:00,Carl Lund,Tony Kaye,Drama,0,100 minutes,detachment
6534,Poseidon Rex,NR,4/17/2014 0:00,Rafael Jordan,Mark L. Lester,"Action & Adventure, Drama, Science Fiction & Fantasy",0,98 minutes,poseidon_rex
6535,Dark Frontier,R,"Dec 31,9999",Andy Cox,Kriv Stenders,"Mystery & Suspense, Western",0,96 minutes,lucky_country
6536,First Period,NR,"Dec 31,9999",Brandon Alexander III,Charlie Vaughn,Comedy,0,100 minutes,first_period
6537,5 Flights Up,PG-13,5/7/2015 0:00,Charlie Peters,Richard Loncraine,Drama,0,92 minutes,5_flights_up
6538,Battle for Brooklyn,NR,6/16/2011 0:00,NOT_AVAILABLE,"Suki Hawley, Michael Galinsky","Documentary, Drama, Special Interest",0,93 minutes,battle_for_brooklyn
6539,Sugar,NR,11/21/2013 0:00,"Rotimi Rainwater, Tony Aloupis",Rotimi Rainwater,Drama,0,97 minutes,
6540,23 Minutes To Sunrise,NR,3/18/2013 0:00,"Jay Kanzler, Patrick Pinkston",Jay Kanzler,"Drama, Science Fiction & Fantasy",0,90 minutes,23_minutes_to_sunrise_2013
6541,Kill Kane,NR,"Dec 31,9999","Christian Sellers, Adam Stephen Kelly, Andrew Jones (XII)",Adam Stephen Kelly,"Action & Adventure, Mystery & Suspense",0,74 minutes,kill_kane
6542,The Coven,NR,"Dec 31,9999",Jayney Mackie,John Mackie,"Art House & International, Horror, Science Fiction & Fantasy",0,86 minutes,the_coven
6543,Haemoo (Sea Fog),NR,"Dec 31,9999","Bong Joon-ho, Sung Bo Shim, Shim Sung-bo","Sung Bo Shim, Shim Sung-bo","Art House & International, Drama",0,111 minutes,haemoo
6544,Roseanne for President!,NR,6/30/2016 0:00,NOT_AVAILABLE,Eric Weinrib,"Comedy, Documentary","$3,340.00 ",98 minutes,roseanne_for_president
6545,In Search of Haydn,NR,4/5/2012 0:00,Phil Grabsky,Phil Grabsky,"Documentary, Musical & Performing Arts, Special Interest",0,102 minutes,in_search_of_haydn
6546,Cosmic Psychos: Blokes You Can Trust,NR,"Dec 31,9999",Matt Weston,Matt Weston,"Documentary, Musical & Performing Arts, Special Interest",0,100 minutes,cosmic_psychos_blokes_you_can_trust
6547,Life,R,12/3/2015 0:00,Luke Davies,Anton Corbijn,Drama,0,112 minutes,life_2014
6548,Ghostlight,NR,"Dec 31,9999","Jeff Ferrell, Jeff Ferrell",Jeff Ferrell,"Drama, Horror, Mystery & Suspense",0,90 minutes,ghostlight_2013
6549,"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",NR,9/22/2011 0:00,NOT_AVAILABLE,Carl Colby,"Documentary, Special Interest","$183,342.00 ",104 minutes,the_man_nobody_knew_in_search_of_my_father_cia_spymaster_william_colby
6550,Mischief Night,R,"Dec 31,9999",Penny Woolcock,Penny Woolcock,"Comedy, Drama, Kids & Family, Mystery & Suspense",0,87 minutes,mischief-night
6551,The Borderlands,NR,4/3/2014 0:00,"Elliot M.D. Goldner, Eliot Goldner","Elliot M.D. Goldner, Eliot Goldner",Horror,0,89 minutes,the_borderlands
6552,Taxi!,NR,1/22/1932 0:00,"Kubec Glasmon, John Bright",Roy Del Ruth,"Action & Adventure, Classics, Drama, Romance",0,70 minutes,10002707-taxi
6553,PMS Cop,NR,"Dec 31,9999",Bryon Blakey,Bryon Blakey,Horror,0,91 minutes,pms_cop
6554,The Zero Theorem,R,9/18/2014 0:00,Pat Rushin,Terry Gilliam,"Drama, Science Fiction & Fantasy",0,107 minutes,the_zero_theorem
6555,Last Knights,R,4/2/2015 0:00,"Michael Konyves, Dove Sussman",Kazuaki Kiriya,Action & Adventure,0,115 minutes,last_knights
6556,One in the Gun,NR,"Dec 31,9999",Rolfe Kanefsky,Rolfe Kanefsky,Mystery & Suspense,0,93 minutes,one_in_the_gun_2014
6557,Fort Bliss,NR,9/18/2014 0:00,Claudia Myers,Claudia Myers,Drama,0,109 minutes,fort_bliss
6558,Amazonia,G,"Dec 31,9999",Alberto Villoldo,Miguel Heded Abraham,"Action & Adventure, Documentary, Drama, Kids & Family, Sports & Fitness",0,90 minutes,amazonia_2013
6559,Desperate Search,NR,11/18/1952 0:00,Walter Doniger,Joseph H. Lewis,"Action & Adventure, Drama",0,73 minutes,desperate_search
6560,Barbie: Princess Charm School,PG,12/2/2012 0:00,"Elise Allen, Steve Granat, Cynde Clark","Ezekiel Norton, Zeke Norton","Animation, Kids & Family",0,86 minutes,barbie_princess_charm_school
6561,No se aceptan devoluciones (Instructions Not Included),PG-13,8/29/2013 0:00,"Eugenio Derbez, Guillermo Ríos, Leticia López Margalli",Eugenio Derbez,"Comedy, Drama",0,100 minutes,no_se_aceptan_devoluciones
6562,Dead Of The Nite,NR,"Dec 31,9999",S.J. Evans,S.J. Evans,Horror,0,86 minutes,dead_of_the_nite
6563,Linsanity,PG,10/3/2013 0:00,NOT_AVAILABLE,"Evan Leong, Evan Jackson Leong","Documentary, Sports & Fitness","$298,250.00 ",88 minutes,linsanity_2013
6564,Aliens and Pyramids,NR,"Dec 31,9999",O.H. Krill,Michael J. Long,Documentary,0,62 minutes,aliens_and_pyramids
6565,Cinderella,PG,3/12/2015 0:00,"Chris Weitz, Aline Brosh McKenna",Kenneth Branagh,"Kids & Family, Science Fiction & Fantasy, Romance",0,105 minutes,cinderella_2013
6566,Hard to be a God,NR,1/29/2015 0:00,NOT_AVAILABLE,Aleksei German,Science Fiction & Fantasy,0,170 minutes,hard_to_be_a_god_2015
6567,Unfinished Song,PG-13,6/20/2013 0:00,Paul Andrew Williams,Paul Andrew Williams,"Comedy, Drama, Musical & Performing Arts",0,94 minutes,unfinished_song
6568,Twisted,NR,9/12/2015 0:00,"J Pitt, Adolfo Latorre",NOT_AVAILABLE,Drama,0,0,
6569,Kidnapped,NR,6/16/2011 0:00,"Miguel Ángel Vivas, Javier García",Miguel Ángel Vivas,"Art House & International, Drama, Mystery & Suspense",0,82 minutes,kidnapped_2011
6570,Burying the Ex,R,6/18/2015 0:00,Alan Trezza,Joe Dante,"Comedy, Horror, Romance",0,99 minutes,burying_the_ex_2015
6571,Queen Of The Sun: What are the Bees Telling Us?,NR,3/24/2011 0:00,NOT_AVAILABLE,Taggart Siegel,"Documentary, Special Interest","$183,692.00 ",83 minutes,queen_of_the_sun_what_are_the_bees_telling_us_2010
6572,I'm In Love With A Church Girl,PG,10/17/2013 0:00,Galley Alexander Molina,Steve Race,Drama,"$2,380,405.00 ",119 minutes,im_in_love_with_a_church_girl
6573,Life After Death From Above 1979,NR,"Dec 31,9999",Eva Michon,Eva Michon,Documentary,0,90 minutes,life_after_death_from_above_1979_2014
6574,Das kleine Gespenst (The Little Ghost),PG,11/6/2013 0:00,"Curt Linda, Martin Ritzenhoff, Otfried Preußler","Curt Linda, Alain Gsponer","Animation, Kids & Family, Science Fiction & Fantasy",0,86 minutes,little_ghost_the
6575,The Life Zone,PG-13,"Dec 31,9999","Kenneth Del Vecchio, Kenneth DelVecchio",Rod Weber,Mystery & Suspense,0,86 minutes,the_life_zone
6576,And So It Goes,PG-13,7/24/2014 0:00,Mark Andrus,Rob Reiner,"Comedy, Drama, Romance",0,94 minutes,and_so_it_goes
6577,The Law In These Parts,NR,11/13/2012 0:00,Ra'anan Alexandrowicz,Ra'anan Alexandrowicz,"Documentary, Special Interest",0,101 minutes,the_law_in_these_parts_2012
6578,Focus,R,2/26/2015 0:00,"Glenn Ficarra, John Requa","Glenn Ficarra, John Requa","Comedy, Drama",0,104 minutes,focus_2014
6579,The Fidel Castro Tapes,NR,"Dec 31,9999",Tom Jennings,Tom Jennings,Documentary,0,0,
6580,Abraham Lincoln Vs. Zombies,R,"Dec 31,9999",NOT_AVAILABLE,Richard Schenkman,"Action & Adventure, Comedy, Horror",0,91 minutes,abraham_lincoln_vs_zombies
6581,The Adventures of Panda Warrior,NR,"Dec 31,9999",NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0,80 minutes,the_adventures_of_panda_warrior
6582,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",R,12/31/2011 0:00,Mark Hartley,Mark Hartley,"Documentary, Television",0,107 minutes,electric_boogaloo_the_wild_untold_story_of_cannon_films
6583,Flying Monkeys,NR,"Dec 31,9999","Silvero Gouris, Silvero Gouris",Robert Grasmere,"Drama, Horror, Science Fiction & Fantasy, Television",0,85 minutes,flying_monkeys
6584,Late Rounders,NR,"Dec 31,9999",NOT_AVAILABLE,Evan A. Marshall,"Documentary, Drama, Sports & Fitness",0,91 minutes,late_rounders
6585,Way of the Wicked,NR,"Dec 31,9999","Matthew Robert Kelly, Matt Kelly",Kevin Carraway,"Drama, Horror, Mystery & Suspense",0,92 minutes,way_of_the_wicked_2014
6586,Captain Phillips,PG-13,10/10/2013 0:00,Billy Ray,Paul Greengrass,Drama,"$107,100,855.00 ",134 minutes,captain_phillips
6587,Inbred,R,8/28/2011 0:00,"Alex Chandon, Paul Shrimpton, Alex Chandon",Alex Chandon,"Art House & International, Horror",0,98 minutes,inbred
6588,United Passions,NR,6/4/2015 0:00,"Frédéric Auburtin, Jean-Paul Delfino",Frédéric Auburtin,Drama,$900.00 ,110 minutes,united_passions
6589,Conception,NR,"Dec 31,9999",Josh Stolberg,Josh Stolberg,"Comedy, Romance",0,100 minutes,conception_2012
6590,Kawa,NR,12/31/2009 0:00,Witi Ihimaera,Katie Wolfe,"Drama, Gay & Lesbian",0,76 minutes,kawa_2010
6591,Children Of The Hunt,NR,"Dec 31,9999",NOT_AVAILABLE,Matthew B. Moore,"Action & Adventure, Science Fiction & Fantasy",0,92 minutes,children_of_the_hunt_2012
6592,K-11,NR,3/14/2013 0:00,"Michele Berk, Jules M. Stewart, Jared Kurt",Jules M. Stewart,"Drama, Mystery & Suspense",0,126 minutes,k_11
6593,Answer This!,PG-13,1/9/2012 0:00,Christopher Farah,"Christopher Farah, Michael Farah","Comedy, Drama, Romance",0,104 minutes,answer_this
6594,Cheech & Chong's Animated Movie,R,"Dec 31,9999",NOT_AVAILABLE,"Eric D. Chambers, Brandon Chambers","Animation, Comedy",0,120 minutes,cheech_and_chongs_animated_movie_2012
6595,Our Paradise (Notre Paradis),NR,9/27/2011 0:00,Gaël Morel,"Gaël Morel, Gaël Morel",Drama,0,100 minutes,our_paradise
6596,"Wild Horse, Wild Ride",PG,8/23/2012 0:00,Alex Dawson,"Alex Dawson, Greg Gricus","Documentary, Special Interest","$94,621.00 ",106 minutes,wild_horse_wild_ride_2011
6597,VANish,NR,2/23/2015 0:00,Bryan Bockbrader,Bryan Bockbrader,"Action & Adventure, Horror, Mystery & Suspense",0,79 minutes,vanish_2015
6598,It's Better to Jump,NR,11/21/2013 0:00,"Gina Angelone, Gina M. Angelone, Gina M. Angelone","Gina Angelone, Patrick Alexander Stewart, Gina M. Angelone, Mouna Stewart, Patrick A. Stewart, Gina M. Angelone","Documentary, Special Interest",0,73 minutes,its_better_to_jump_2013
6599,Mac Daddy & The Lovers,NR,"Dec 31,9999",Mac Jay,Mac Jay,"Comedy, Romance",0,90 minutes,mac_daddy_and_the_lovers_2013
6600,The 5th Wave,PG-13,1/21/2016 0:00,"Akiva Goldsman, Susannah Grant, Jeff Pinkner",J Blakeson,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",0,112 minutes,the_fifth_wave
6601,Catch Hell,NR,10/9/2014 0:00,"Ryan Phillippe, Joe Gossett",Ryan Phillippe,"Drama, Mystery & Suspense",0,98 minutes,catch_hell
6602,Left Behind,PG-13,10/2/2014 0:00,"Paul Lalonde, John Patus",Vic Armstrong,Mystery & Suspense,0,110 minutes,left_behind_2014
6603,Intrusion,NR,"Dec 31,9999",Craig Everett Earl,Dru Pfeiffer,Horror,0,45 minutes,intrusion
6604,Paranormal Activity: The Ghost Dimension,R,10/22/2015 0:00,"Gavin Heffernan, Oren Peli, Adam Robitel, Jason Pagan, Andrew Stark",Gregory Plotkin,Horror,0,97 minutes,paranormal_activity_the_ghost_dimension
6605,Susie's Hope,NR,4/28/2014 0:00,"Jerry Rees, Dan A.R. Kelly",Jerry Rees,Kids & Family,0,105 minutes,susies_hope
6606,All In: The Poker Movie,NR,3/22/2012 0:00,Douglas Tirola,Douglas Tirola,"Documentary, Special Interest",0,98 minutes,all-in-the-poker-movie
6607,Let It Shine,NR,"Dec 31,9999","Don D. Scott, Eric Daniel",Paul Hoen,"Kids & Family, Musical & Performing Arts, Television",0,104 minutes,let_it_shine
